Tweet ID	Country	Date	Tweet	Definitely English	Ambiguous	Definitely Not English	Code-Switched	Ambiguous due to Named Entities	Automatically Generated Tweets
434215992731136000	TR	2014-02-14	Bugün bulusmami lazimdiii	0	0	1	0	0	0
285903159434563584	TR	2013-01-01	Volkan konak adami tribe sokar yemin ederim :D	0	0	1	0	0	0
285948076496142336	NL	2013-01-01	Bed	1	0	0	0	0	0
285965965118824448	US	2013-01-01	I felt my first flash of violence at some fool who bumped into me.... I pity the fool.	1	0	0	0	0	0
286057979831275520	US	2013-01-01	Ladies drink and get in free till 10:30	1	0	0	0	0	0
286101218818924545	NL	2013-01-01	@Melanynijholtxo ahhahahahah dm!	0	1	0	0	0	0
286176649219829760	US	2013-01-01	Fuck	0	1	0	0	0	0
286216100784521216	GB	2013-01-01	Watching #Miranda On bbc1!!! @mermhart u r HILARIOUS ❤💋	1	0	0	0	0	0
286237546122457089	RS	2013-01-01	@StizZsti fino	0	0	1	0	0	0
286282349925257216	US	2013-01-02	Shopping! (@ Kohl's) http://t.co/I8ZkQHT9	1	0	0	0	0	0
286306802637889537	MX	2013-01-02	@Mizzh_ celos es tu segundo nombre	0	0	1	0	0	0
286327245667201025	CA	2013-01-02	@emilyroxxxx @melanienasson hahahahahah awww	0	1	0	0	0	0
286350423126851584	MY	2013-01-02	@BeGinkiTh otak ang semangat nak blajaq !	0	0	1	0	0	0
286469201806376961	BR	2013-01-02	Quiero jugar tenis ♥	0	0	1	0	0	0
286490978771144704	US	2013-01-02	Yessss ^_^	1	0	0	0	0	0
286493100866686976	BR	2013-01-02	#fome (@ Picanha do Neto) http://t.co/8Bj6zaWx	0	0	1	0	0	0
286525170670243840	US	2013-01-02	@Dennycrowe all over twitter because you and your friends cant stick up for yourselves.	1	0	0	0	0	0
286675485902139392	BR	2013-01-03	@JuanChrystma chama e puxa, veem e vai...	0	0	1	0	0	0
286826850204934144	ID	2013-01-03	Tirta gangga w/@dayu_renita @tamancrizz @mika_mahayekti http://t.co/xemAXjUz	0	0	1	0	0	0
286916662836490241	US	2013-01-03	~ i'm falling apart,with a broken heart,barely breathing.	1	0	0	0	0	0
286927073078018048	US	2013-01-03	@CP_UDASHIT oh my god, we go way back #lovethis #rahrahrah	1	0	0	0	0	0
286927433498759168	US	2013-01-03	The way you treat me. The way you accept me, and love me. How much you care about me. That's what makes you perfect.	1	0	0	0	0	0
286941320851890177	US	2013-01-03	I just wanna get pulled on the sled by the four wheeler again!!!!!! #goodshit	1	0	0	0	0	0
286949739071672321	IE	2013-01-03	Oh there's that fake door slam noise , ugh #CBB	1	0	0	0	0	0
286958983368036352	US	2013-01-03	@Taybaybay_19 cool... Wanna see when u get it!	1	0	0	0	0	0
